,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
241,Sterling,1631048400,40.6206,-103.1925,2,236.99,0.08,0.42,103.0,0.18,10.06,13.53,1.44,"14,495",2021,9,7,21,0
242,Stratton,1631048400,39.3028,-102.6033,2,230.31,0.07,0.36,100.14,0.25,11.91,14.18,1.5,639,2021,9,7,21,0
243,Sugar City,1631048400,38.2328,-103.6633,2,236.99,0.06,0.33,114.44,0.41,17.48,22.01,1.96,253,2021,9,7,21,0
244,Superior,1631048400,39.9339,-105.1589,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"13,087",2021,9,7,21,0
245,Swink,1631048400,38.0142,-103.6281,3,243.66,0.07,0.42,121.59,0.49,18.76,23.83,2.09,592,2021,9,7,21,0
246,Telluride,1631048400,37.9364,-107.8269,3,198.6,0.04,0.25,133.04,0.25,17.61,20.55,1.0,"2,479",2021,9,7,21,0
247,Thornton,1631048400,39.9197,-104.9439,3,247.0,0.26,1.69,137.33,0.74,22.1,24.68,1.93,"141,464",2021,9,7,21,0
248,Timnath,1631048400,40.5339,-104.9622,2,240.33,0.13,0.75,115.87,0.45,19.42,22.73,1.82,"4,998",2021,9,7,21,0
249,Trinidad,1631048400,37.175,-104.4908,3,216.96,0.07,0.53,157.36,1.21,17.23,20.38,1.0,"8,200",2021,9,7,21,0
250,Two Buttes,1631048400,37.5606,-102.3967,3,236.99,0.07,0.41,124.45,0.88,17.18,20.09,1.87,40,2021,9,7,21,0
251,Vail,1631048400,39.6386,-106.3611,3,201.94,0.06,0.37,120.16,1.0,22.83,24.76,0.78,"5,434",2021,9,7,21,0
252,Victor,1631048400,38.7086,-105.1419,4,223.64,0.05,0.36,153.07,1.06,25.49,30.44,0.97,426,2021,9,7,21,0
253,Vilas,1631048400,37.3736,-102.4475,3,240.33,0.07,0.46,134.47,1.0,20.11,25.17,1.73,107,2021,9,7,21,0
254,Vona,1631048400,39.3022,-102.7433,2,230.31,0.07,0.36,100.14,0.25,11.91,14.18,1.5,104,2021,9,7,21,0
255,Walden,1631048400,40.7317,-106.2814,4,253.68,0.05,0.33,148.77,0.42,34.7,37.44,1.3,599,2021,9,7,21,0
256,Walsenburg,1631048400,37.6306,-104.7817,4,247.0,0.08,0.65,180.24,1.12,27.89,33.82,1.38,"3,029",2021,9,7,21,0
257,Walsh,1631048400,37.3861,-102.28,3,240.33,0.07,0.46,130.18,0.94,18.55,22.62,1.88,516,2021,9,7,21,0
258,Ward,1631048400,40.0722,-105.5139,3,211.95,0.04,0.23,128.75,2.86,24.12,28.28,0.84,161,2021,9,7,21,0
259,Wellington,1631048400,40.7,-105.0053,3,250.34,0.09,0.59,133.04,1.71,24.67,28.29,1.85,"10,437",2021,9,7,21,0
260,Westcliffe,1631048400,38.1339,-105.4653,3,200.27,0.07,0.45,133.04,1.03,17.11,19.09,0.97,628,2021,9,7,21,0
261,Westminster,1631048400,39.8836,-105.0625,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"113,166",2021,9,7,21,0
262,Wheat Ridge,1631048400,39.7728,-105.1028,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,"31,324",2021,9,7,21,0
263,Wiggins,1631048400,40.2286,-104.0725,2,233.65,0.07,0.38,105.86,0.18,15.02,19.26,1.62,"1,163",2021,9,7,21,0
264,Wiley,1631048400,38.1553,-102.7192,2,233.65,0.07,0.4,108.72,0.62,15.29,16.97,1.65,393,2021,9,7,21,0
265,Williamsburg,1631048400,38.3839,-105.1711,4,260.35,0.09,0.83,191.69,1.71,31.31,38.81,1.25,713,2021,9,7,21,0
266,Windsor,1631048400,40.4689,-104.92,2,240.33,0.13,0.75,115.87,0.45,19.42,22.73,1.82,"30,477",2021,9,7,21,0
267,Winter Park,1631048400,39.8786,-105.7828,2,185.25,0.05,0.25,114.44,1.16,16.33,17.79,0.57,"1,090",2021,9,7,21,0
268,Woodland Park,1631048400,38.9986,-105.0594,4,240.33,0.07,0.5,164.51,1.83,29.44,36.45,1.06,"7,885",2021,9,7,21,0
269,Wray,1631048400,40.08,-102.2283,2,233.65,0.07,0.38,100.14,0.15,8.82,11.87,1.44,"2,349",2021,9,7,21,0
270,Yampa,1631048400,40.1531,-106.9086,4,250.34,0.16,1.14,171.66,15.97,39.76,43.24,0.53,464,2021,9,7,21,0
271,Yuma,1631048400,40.1236,-102.7161,2,233.65,0.08,0.41,98.71,0.14,9.41,13.04,1.41,"3,479",2021,9,7,21,0
