,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
102,Glendale,1631048400,39.7036,-104.9353,3,260.35,0.56,3.68,150.2,2.5,24.16,27.31,1.87,"5,141",2021,9,7,21,0
103,Glenwood Springs,1631048400,39.5456,-107.3347,4,253.68,0.05,0.39,160.22,0.62,35.91,38.84,1.25,"9,930",2021,9,7,21,0
104,Golden,1631048400,39.7406,-105.2119,4,253.68,0.13,1.0,160.22,2.3,29.49,35.11,1.69,"20,767",2021,9,7,21,0
105,Granada,1631048400,38.0631,-102.3117,2,230.31,0.07,0.38,105.86,0.4,13.51,14.86,1.6,503,2021,9,7,21,0
106,Granby,1631048400,40.0647,-105.9194,3,216.96,0.06,0.36,138.76,3.28,24.63,27.48,0.8,"2,139",2021,9,7,21,0
107,Grand Junction,1631048400,39.0878,-108.5675,4,250.34,0.09,0.7,170.23,0.43,30.06,32.99,1.5,"63,597",2021,9,7,21,0
108,Grand Lake,1631048400,40.2503,-105.8231,3,210.29,0.05,0.28,125.89,2.38,23.12,26.25,0.87,506,2021,9,7,21,0
109,Greeley,1631048400,40.415,-104.7706,2,233.65,0.08,0.41,105.86,0.25,16.9,20.88,1.74,"108,649",2021,9,7,21,0
110,Green Mountain Falls,1631048400,38.9344,-105.0239,4,240.33,0.07,0.5,164.51,1.83,29.44,36.45,1.06,722,2021,9,7,21,0
111,Greenwood Village,1631048400,39.6153,-104.9131,3,260.35,0.56,3.68,150.2,2.5,24.16,27.31,1.87,"15,735",2021,9,7,21,0
112,Grover,1631048400,40.8692,-104.2258,2,230.31,0.07,0.36,98.71,0.2,13.88,18.67,1.47,153,2021,9,7,21,0
113,Gunnison,1631048400,38.5481,-106.9247,3,201.94,0.04,0.25,131.61,0.25,18.03,21.58,1.0,"6,640",2021,9,7,21,0
114,Gypsum,1631048400,39.6286,-106.935,4,250.34,0.07,0.5,161.65,1.86,34.91,38.35,1.41,"7,375",2021,9,7,21,0
115,Hartman,1631048400,38.1211,-102.2217,2,230.31,0.07,0.38,105.86,0.4,13.51,14.86,1.6,75,2021,9,7,21,0
116,Haswell,1631048400,38.4525,-103.165,2,226.97,0.06,0.32,105.86,0.56,14.15,16.74,1.55,68,2021,9,7,21,0
117,Haxtun,1631048400,40.6419,-102.6297,2,236.99,0.08,0.44,101.57,0.22,7.93,10.48,1.43,904,2021,9,7,21,0
118,Hayden,1631048400,40.485,-107.2392,4,250.34,0.06,0.44,163.08,0.82,31.96,36.04,1.5,"1,979",2021,9,7,21,0
119,Hillrose,1631048400,40.3244,-103.5222,2,236.99,0.1,0.54,105.86,0.17,13.2,17.36,1.54,260,2021,9,7,21,0
120,Holly,1631048400,38.0553,-102.1247,2,230.31,0.07,0.36,103.0,0.31,12.62,13.88,1.62,774,2021,9,7,21,0
121,Holyoke,1631048400,40.5819,-102.2975,2,236.99,0.08,0.42,101.57,0.21,6.85,8.44,1.47,"2,208",2021,9,7,21,0
122,Hooper,1631048400,37.7461,-105.8778,3,211.95,0.13,0.91,128.75,0.33,15.26,17.25,2.98,100,2021,9,7,21,0
123,Hot Sulphur Springs,1631048400,40.075,-106.1031,3,213.62,0.07,0.42,134.47,2.95,24.9,27.48,0.74,733,2021,9,7,21,0
124,Hotchkiss,1631048400,38.7989,-107.7133,3,223.64,0.05,0.35,143.05,0.28,18.43,21.22,1.65,928,2021,9,7,21,0
125,Hudson,1631048400,40.09,-104.6208,2,233.65,0.22,1.14,114.44,0.25,18.08,21.18,1.82,"2,767",2021,9,7,21,0
126,Hugo,1631048400,39.1361,-103.4731,2,223.64,0.07,0.38,98.71,0.15,13.23,16.18,1.5,777,2021,9,7,21,0
127,Idaho Springs,1631048400,39.7444,-105.5,4,230.31,0.07,0.43,144.48,1.76,26.44,31.19,1.05,"1,786",2021,9,7,21,0
128,Ignacio,1631048400,37.1181,-107.6375,3,200.27,0.07,0.43,134.47,0.9,12.0,13.09,0.68,908,2021,9,7,21,0
129,Iliff,1631048400,40.7592,-103.0661,2,236.99,0.08,0.42,103.0,0.18,10.06,13.53,1.44,268,2021,9,7,21,0
130,Jamestown,1631048400,40.1183,-105.3917,4,247.0,0.09,0.58,141.62,2.44,27.9,32.94,1.69,249,2021,9,7,21,0
131,Johnstown,1631048400,40.3497,-104.9483,3,240.33,0.18,1.08,123.02,0.41,20.62,23.61,1.85,"15,198",2021,9,7,21,0
132,Julesburg,1631048400,40.985,-102.2628,2,240.33,0.09,0.5,101.57,0.25,6.14,7.49,1.49,"1,152",2021,9,7,21,0
133,Keenesburg,1631048400,40.1328,-104.5381,2,230.31,0.09,0.49,104.43,0.17,15.68,19.32,1.81,"1,237",2021,9,7,21,0
134,Kersey,1631048400,40.3908,-104.5794,2,233.65,0.07,0.38,104.43,0.18,15.77,19.78,1.69,"1,681",2021,9,7,21,0
135,Kim,1631048400,37.2469,-103.3533,3,240.33,0.06,0.47,153.07,1.18,23.58,32.76,1.54,70,2021,9,7,21,0
136,Kiowa,1631048400,39.3436,-104.4578,3,233.65,0.07,0.38,121.59,0.66,21.06,24.31,1.76,761,2021,9,7,21,0
137,Kit Carson,1631048400,38.7628,-102.7953,2,226.97,0.07,0.35,103.0,0.65,12.64,14.63,1.47,231,2021,9,7,21,0
138,Kremmling,1631048400,40.0567,-106.3783,4,223.64,0.07,0.47,145.91,3.19,27.86,29.95,0.79,"1,524",2021,9,7,21,0
139,La Jara,1631048400,37.2736,-105.9597,3,186.92,0.07,0.38,123.02,0.41,9.43,10.29,0.69,817,2021,9,7,21,0
140,La Junta,1631048400,37.9792,-103.5472,3,243.66,0.07,0.45,125.89,0.6,19.52,24.83,2.03,"6,881",2021,9,7,21,0
141,La Veta,1631048400,37.5086,-105.0086,3,201.94,0.06,0.38,148.77,1.18,15.08,16.9,0.86,811,2021,9,7,21,0
142,Lafayette,1631048400,39.9947,-105.0997,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"30,687",2021,9,7,21,0
143,Lake City,1631048400,38.03,-107.3106,2,186.92,0.04,0.24,117.3,0.23,16.26,18.8,0.91,394,2021,9,7,21,0
144,Lakeside,1631048400,39.7803,-105.0578,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,8,2021,9,7,21,0
145,Lakewood,1631048400,39.6978,-105.1172,4,273.71,0.38,2.83,168.8,2.83,28.99,33.32,1.96,"157,935",2021,9,7,21,0
146,Lamar,1631048400,38.0739,-102.6153,2,233.65,0.07,0.4,108.72,0.62,15.29,16.97,1.65,"7,655",2021,9,7,21,0
147,Larkspur,1631048400,39.2319,-104.8922,4,260.35,0.18,1.39,165.94,2.09,29.32,34.62,1.62,212,2021,9,7,21,0
148,Las Animas,1631048400,38.0694,-103.2236,2,236.99,0.07,0.41,115.87,0.72,17.47,20.67,1.85,"2,165",2021,9,7,21,0
149,LaSalle,1631048400,40.3483,-104.7061,2,233.65,0.12,0.66,108.72,0.25,17.44,20.98,1.77,"2,342",2021,9,7,21,0
150,Leadville,1631048400,39.2472,-106.2933,2,183.58,0.04,0.23,114.44,0.27,15.51,16.97,0.63,"2,868",2021,9,7,21,0
151,Limon,1631048400,39.2653,-103.6856,2,223.64,0.06,0.3,98.71,0.13,14.12,16.95,1.46,"1,952",2021,9,7,21,0
152,Littleton,1631048400,39.5914,-105.0189,4,273.71,0.32,2.53,175.95,3.67,31.08,36.45,1.87,"48,065",2021,9,7,21,0
153,Lochbuie,1631048400,40.0117,-104.7272,2,233.65,0.22,1.14,114.44,0.25,18.08,21.18,1.82,"7,304",2021,9,7,21,0
