Place Name,lat,lon,Population,Area
Aguilar,37.40361111,-104.655,480,1.016
Akron,40.16333333,-103.2202778,"1,723",7.18
Alamosa,37.47527778,-105.8769444,"9,591",19.871
Alma,39.28583333,-106.0669444,313,1.129
Antonito,37.07611111,-106.0102778,747,1.105
Arriba,39.28444444,-103.2741667,207,1.292
Arvada,39.83194444,-105.1511111,"121,272",102.485
Aspen,39.195,-106.8366667,"7,401",9.992
Ault,40.58916667,-104.7391667,"1,871",4.476
Aurora,39.70833333,-104.7238889,"379,289",416.223
Avon,39.64416667,-106.5130556,"6,511",21.819
Basalt,39.36638889,-107.0413889,"4,157",5.178
Bayfield,37.23416667,-107.5952778,"2,689",4.264
Bennett,39.73666667,-104.4286111,"2,798",15.024
Berthoud,40.30722222,-105.0425,"9,094",33.844
Bethune,39.30388889,-102.4233333,235,0.42
Black Hawk,39.80416667,-105.495,128,6.871
Blanca,37.43916667,-105.5136111,406,4.747
Blue River[c],39.43583333,-106.0352778,921,6.637
Bonanza[d],38.29666667,-106.1419444,19,1.133
Boone,38.24944444,-104.2580556,367,1.006
Boulder,40.02472222,-105.2525,"105,673",70.877
Bow Mar,39.62527778,-105.0511111,942,2.104
Branson,37.01555556,-103.8838889,72,0.634
Breckenridge[g],39.49944444,-106.0433333,"4,945",15.661
Brighton,39.97166667,-104.7963889,"41,554",55.777
Brookside[h],38.41361111,-105.1908333,262,1.227
Broomfield,39.95416667,-105.0527778,"70,465",86.89
Brush,40.26,-103.6322222,"5,420",7.339
Buena Vista,38.83194444,-106.1386111,"2,866",8.942
Burlington,39.30416667,-102.2713889,"3,140",5.575
Calhan,39.03444444,-104.2994444,834,2.144
Campo,37.10472222,-102.5788889,102,0.374
Ca–on City,38.44305556,-105.2202778,"16,725",32.127
Carbonate[k],39.74416667,-107.3391667,0,2.605
Carbondale,39.395,-107.2147222,"6,898",5.237
Castle Pines,39.4625,-104.8705556,"10,763",24.849
Castle Rock,39.37611111,-104.8536111,"68,484",88.811
Cedaredge,38.89416667,-107.9255556,"2,295",5.078
Centennial,39.5925,-104.8672222,"110,937",77.355
Center,37.75111111,-106.1105556,"2,264",2.238
Central City,39.79472222,-105.5119444,770,5.594
